Any,Indicador,Nom_Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Tipus_Us,Tipus_Equipament,Ambit,Latitud,Longitud
2022,Num_Exposicions_Temporals,"Arxiu Fotogràfic de Barcelona",3,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres d'exposicions","Arxius i biblioteques patrimonials","Història i memòria",41.386872640,2.181806284
2022,Visitants,"Arxiu Fotogràfic de Barcelona",16426,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres d'exposicions","Arxius i biblioteques patrimonials","Història i memòria",41.386872640,2.181806284
2022,Visites_Exposicions_Temporals,"Arxiu Fotogràfic de Barcelona",16426,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres d'exposicions","Arxius i biblioteques patrimonials","Història i memòria",41.386872640,2.181806284
2022,Visitants,"Basílica de la Sagrada Família",3781845,,,02,Eixample,06,"la Sagrada Família",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.403188985,2.174826626
2022,Num_Exposicions_Temporals,CaixaForum,11,,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2022,Visitants,CaixaForum,518809,,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2022,Visites_Exposicions_Temporals,CaixaForum,478035,,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2022,Num_Exposicions_Temporals,"Can Framis. Fundació Vila Casas",6,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.402912812,2.194947848
2022,Visitants,"Can Framis. Fundació Vila Casas",13087,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.402912812,2.194947848
2022,Visites_Exposicions_Temporals,"Can Framis. Fundació Vila Casas",19053,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.402912812,2.194947848
2022,Visitants,"Casa Amatller",14753,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.3913381,2.16468108
2022,Visitants,"Casa Batlló",932851,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.3916967,2.1649608
2022,Visitants,"Casa Museu Gaudí",95086,,,06,Gràcia,30,"la Salut",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.414781293,2.155046761
2022,Num_Exposicions_Temporals,"Casa Vicens",2,,,06,Gràcia,31,"la Vila de Gràcia",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.4036093,2.1512308
2022,Visitants,"Casa Vicens",126632,,,06,Gràcia,31,"la Vila de Gràcia",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.4036093,2.1512308
2022,Visites_Exposicions_Temporals,"Casa Vicens",124391,,,06,Gràcia,31,"la Vila de Gràcia",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.4036093,2.1512308
2022,Num_Exposicions_Temporals,"Castell de Montjuïc",5,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.3675648,2.1685315
2022,Visitants,"Castell de Montjuïc",684031,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.3675648,2.1685315
2022,Visites_Exposicions_Temporals,"Castell de Montjuïc",322868,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.3675648,2.1685315
2022,Num_Exposicions_Temporals,"Centre de Cultura Contemporània de Barcelona. CCCB",5,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres d'exposicions","Centres d'exposicions","Arts visuals",41.383883057,2.166795152
2022,Visitants,"Centre de Cultura Contemporània de Barcelona. CCCB",315664,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres d'exposicions","Centres d'exposicions","Arts visuals",41.383883057,2.166795152
2022,Visites_Exposicions_Temporals,"Centre de Cultura Contemporània de Barcelona. CCCB",218990,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres d'exposicions","Centres d'exposicions","Arts visuals",41.383883057,2.166795152
2022,Fons_Colleccio,CosmoCaixa,8232,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Privada,"Centres patrimonials","Museus i col·leccions",Ciència,41.413267367,2.130658424
